Date,Message,Log Level
2013-10-23 16:01:14,Received signal 15; terminating.,info
2013-10-23 16:01:14,Server listening on 0.0.0.0 port 22.,info
2013-10-23 16:01:14,Server listening on :: port 22.,info
2013-10-23 16:05:44,Administrator GPAC System successfully authenticated 127.0.0.1 (Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.18) Gecko/20110628 Ubuntu/10.04 (lucid) Firefox/3.6.18),notice
2013-10-23 16:09:38,sahid GPAC System successfully authenticated 192.168.1.11 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0),notice
2013-10-23 16:16:46,Administrator GPAC System successfully authenticated 127.0.0.1 (Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.18) Gecko/20110628 Ubuntu/10.04 (lucid) Firefox/3.6.18),notice
2013-10-23 16:18:58,Administrator Kicked user sahid 127.0.0.1 (Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.18) Gecko/20110628 Ubuntu/10.04 (lucid) Firefox/3.6.18),notice
2013-10-23 16:19:10,sahid Logged out: Session expired 192.168.1.11 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0),notice
2013-10-23 17:47:51,Administrator GPAC System successfully authenticated 192.168.1.11 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0),notice
2013-10-23 18:40:31,Anonymous GPAC System failed to authenticate. Login attempt: 1 192.168.1.11 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0),alert
2013-10-24 08:56:37,Anonymous Logged out: Session expired 127.0.0.1 (Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.18) Gecko/20110628 Ubuntu/10.04 (lucid) Firefox/3.6.18),notice
2013-10-24 11:58:11,Anonymous Logged out: Session expired 192.168.1.11 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0),notice
2013-10-28 07:20:01,sahid GPAC System successfully authenticated 192.168.1.11 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0),notice
2014-02-07 13:13:52,sahid GPAC System successfully authenticated 127.0.0.1 (Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.18) Gecko/20110628 Ubuntu/10.04 (lucid) Firefox/3.6.18),notice
2014-02-07 13:53:19,sahid GPAC System successfully authenticated 192.168.1.148 (Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36),notice
2014-02-07 13:54:43,sahid Logged out 192.168.1.148 (Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36),notice
2014-02-07 13:54:51,Jeff GPAC System successfully authenticated 192.168.1.148 (Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36),notice
