Date,Action,Environment,Log Level
2014-10-30 10:58:19,GPAC Schedule cleared all trigger actions.,,info
2014-10-30 16:25:10,GPAC Schedule cleared all trigger actions.,,info
2014-10-30 16:25:10,GPAC Schedule cleared all trigger actions.,,info
2014-10-30 16:45:14,GPAC Schedule cleared all trigger actions.,,info
2014-10-30 16:45:14,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 09:28:12,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 09:28:12,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 10:08:33,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 11:02:29,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 11:50:37,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 11:50:37,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 11:59:51,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 11:59:51,GPAC Schedule cleared all trigger actions.,,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.15,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.15,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.145,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.145,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.02,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.02,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.05,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.05,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction >= 50,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction >= 50,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction <= 120,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction <= 120,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction >= 130,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction >= 130,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction <= 45,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Wind Direction <= 45,G357-Weather,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.15,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.15,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.05,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia >= 0.05,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.145,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.145,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.045,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.045,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.015,G357-Thermo,info
2014-10-31 11:59:51,GPAC Schedule enabled trigger action for Ammonia <= 0.015,G357-Thermo,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Ammonia <= 0.045,G357-Thermo,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Ammonia <= 0.045,G357-Thermo,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction >= 50,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction >= 50,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction <= 120,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction <= 120,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction <= 45,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction <= 45,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction >= 130,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Wind Direction >= 130,G357-Weather,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.15,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.15,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.145,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.145,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.075,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.075,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.07,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.07,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.02,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.02,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.15,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.15,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.145,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.145,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.075,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.075,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.07,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.07,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.02,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.02,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex >= 0.45,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex >= 0.45,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex <= 0.445,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex <= 0.445,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex >= 0.15,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex >= 0.15,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex <= 0.145,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Napthalene-Cerex <= 0.145,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres >= 1.8,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres >= 1.8,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres <= 1.75,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres <= 1.75,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres >= 0.8,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres >= 0.8,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres >= 0.75,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Chlorine-Ceres >= 0.75,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex >= 4.5,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex >= 4.5,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex <= 4.45,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex <= 4.45,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex >= 1.5,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex >= 1.5,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex <= 1.45,G357-Cerex,info
2014-10-31 11:59:52,GPAC Schedule enabled trigger action for Toluene-Cerex <= 1.45,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule cleared all trigger actions.,,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia >= 0.15,G357-Thermo,info
