Date,Username,Message,IP Address,Log Level
2014-02-14 12:09:57,alex,GPAC System successfully authenticated,192.168.1.149,notice
2014-02-14 12:09:58,alex,Accessed Overview,192.168.1.149,info
2014-02-14 12:10:08,alex,Accessed Device Matrix,192.168.1.149,info
2014-02-14 12:10:10,alex,Accessed Device Table,192.168.1.149,info
2014-02-14 12:10:15,alex,Accessed Camera Matrix,192.168.1.149,info
2014-02-14 12:10:19,alex,Accessed Camera Matrix,192.168.1.149,info
2014-02-14 12:11:20,Jeff,Accessed Discover Modules,192.168.1.148,info
2014-02-14 12:11:24,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 12:11:29,Jeff,Accessed Device Configuration,192.168.1.148,info
2014-02-14 12:41:01,Jeff,Added device DoorSensor successfully,192.168.1.148,notice
2014-02-14 12:41:10,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:41:13,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:41:50,Jeff,Updated device DoorSensor successfully,192.168.1.148,notice
2014-02-14 12:41:53,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:42:04,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:42:53,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:43:05,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-14 12:43:11,Jeff,Accessed Triggers,192.168.1.148,info
2014-02-14 12:43:20,Jeff,Added trigger = 0 successfully,192.168.1.148,notice
2014-02-14 12:43:31,Jeff,Added trigger = 1 successfully,192.168.1.148,notice
2014-02-14 12:43:50,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-14 12:44:06,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:49:50,Jeff,Accessed Device Configuration,192.168.1.148,info
2014-02-14 12:50:24,Jeff,Added device Buzzer successfully,192.168.1.148,notice
2014-02-14 12:50:34,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:50:38,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:51:26,Jeff,Accessed Device Configuration,192.168.1.148,info
2014-02-14 12:51:40,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:51:45,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:52:51,Jeff,Updated device Buzzer successfully,192.168.1.148,notice
2014-02-14 12:52:54,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:54:29,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:54:48,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:56:05,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-14 12:56:08,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:57:48,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:11:28,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:11:36,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:12:33,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-14 13:12:36,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:12:40,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:15:27,Jeff,Accessed System Information,192.168.1.148,info
2014-02-14 13:15:35,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:16:10,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:21:38,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:21:40,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-14 13:21:50,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:24:11,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 14:08:02,mso,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:08:15,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:08:17,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:08:58,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:09:28,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:09:39,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:12:05,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:16:03,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:38:37,Jeff,GPAC System successfully authenticated,66.87.113.148,notice
2014-02-14 14:38:56,Jeff,Accessed Overview,66.87.113.148,info
2014-02-14 14:39:34,Jeff,Accessed Overview,66.87.113.148,info
2014-02-14 14:39:49,Jeff,Accessed Camera Matrix,66.87.113.148,info
2014-02-14 14:39:59,Jeff,Accessed Device Matrix,66.87.113.148,info
2014-02-14 15:15:54,Alex,GPAC System failed to authenticate. Login attempt: 1,66.87.118.10,alert
2014-02-14 15:16:28,alex,GPAC System successfully authenticated,66.87.118.10,notice
2014-02-14 15:16:33,alex,Accessed Overview,66.87.118.10,info
2014-02-14 15:16:43,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:16:48,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:16:52,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:17:02,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:17:14,alex,Accessed Device Matrix,66.87.118.10,info
2014-02-14 15:17:21,alex,Accessed Device Table,66.87.118.10,info
2014-02-14 15:21:49,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:25:18,,Anonymous,Logged,notice
2014-02-14 15:25:28,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-14 15:25:29,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 15:25:33,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 15:25:37,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 15:25:42,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 15:31:13,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 15:31:29,Jeff,Updated device DoorSensor successfully,192.168.1.148,notice
2014-02-14 15:31:32,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 15:34:21,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 15:34:35,Jeff,Updated device DoorSensor successfully,192.168.1.148,notice
2014-02-14 15:34:39,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 15:35:04,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 15:35:20,Jeff,Updated device DoorSensor successfully,192.168.1.148,notice
2014-02-14 15:35:23,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 15:35:33,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 15:35:53,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 15:38:46,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 15:39:18,Jeff,Updated device DoorSensor successfully,192.168.1.148,notice
2014-02-14 15:39:20,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 15:39:51,alex,Accessed System Configuration,66.87.118.10,info
2014-02-14 15:39:51,alex,Accessed Device Table,66.87.118.10,info
2014-02-14 15:50:09,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:50:55,alex,Accessed System Information,66.87.118.10,info
2014-02-14 15:51:24,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 16:21:39,alex,Accessed System Information,66.87.118.10,info
2014-02-14 16:22:21,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 16:22:21,alex,Accessed Device Table,66.87.118.10,info
2014-02-14 16:22:26,alex,Accessed System Configuration,66.87.118.10,info
2014-02-14 17:27:06,,Anonymous,Logged,notice
2014-02-14 17:28:17,alex,GPAC System successfully authenticated,66.87.118.10,notice
2014-02-14 17:28:20,alex,Accessed Overview,66.87.118.10,info
2014-02-14 17:28:26,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 17:28:54,alex,Accessed Device Matrix,66.87.118.10,info
2014-02-14 17:28:55,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 17:30:50,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 17:31:13,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 17:32:21,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-14 17:32:21,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 17:32:29,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 17:32:32,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-14 17:32:51,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 17:32:53,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 17:51:48,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 17:56:20,Jeff,GPAC System successfully authenticated,66.87.113.148,notice
2014-02-14 17:56:48,Jeff,Accessed Overview,66.87.113.148,info
2014-02-14 17:56:56,Jeff,Accessed Camera Matrix,66.87.113.148,info
2014-02-14 17:57:55,Jeff,Accessed Device Matrix,66.87.113.148,info
2014-02-14 21:22:36,alex,GPAC System successfully authenticated,66.87.135.198,notice
2014-02-14 21:22:40,alex,Accessed Overview,66.87.135.198,info
2014-02-14 21:22:52,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-14 21:22:54,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-14 21:23:04,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-14 21:23:04,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-14 21:23:15,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-14 21:23:30,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-14 21:23:46,alex,Accessed Device Matrix,66.87.135.198,info
2014-02-14 21:23:57,alex,Accessed Device Table,66.87.135.198,info
2014-02-14 21:24:08,alex,Accessed Device Matrix,66.87.135.198,info
2014-02-14 21:24:19,alex,Accessed Device Table,66.87.135.198,info
2014-02-14 21:24:44,alex,Accessed Start/Stop GPAC,66.87.135.198,info
2014-02-14 21:24:53,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-14 21:25:36,alex,Accessed Camera Matrix,66.87.135.198,info
2014-02-15 21:05:38,,Anonymous,Logged,notice
2014-02-15 21:05:38,,Anonymous,Logged,notice
2014-02-15 21:06:13,alex,GPAC System successfully authenticated,71.92.88.164,notice
2014-02-15 21:06:15,alex,Accessed Overview,71.92.88.164,info
2014-02-15 21:06:25,alex,Accessed Camera Matrix,71.92.88.164,info
2014-02-15 21:06:25,alex,Accessed Camera Matrix,71.92.88.164,info
2014-02-15 21:06:31,alex,Accessed Camera Matrix,71.92.88.164,info
2014-02-18 14:25:35,sahid,GPAC System successfully authenticated,69.239.78.110,notice
2014-02-18 14:25:38,sahid,Accessed Overview,69.239.78.110,info
2014-02-18 14:25:58,sahid,Accessed Device Matrix,69.239.78.110,info
2014-02-18 14:26:08,sahid,Accessed Camera Matrix,69.239.78.110,info
2014-02-18 14:26:17,sahid,Accessed Device Matrix,69.239.78.110,info
2014-02-18 14:26:35,sahid,Accessed Overview,69.239.78.110,info
2014-02-18 14:26:53,sahid,Accessed Device Matrix,69.239.78.110,info
2014-02-18 14:26:59,sahid,Accessed System Configuration,69.239.78.110,info
2014-02-18 14:27:45,sahid,Accessed Log Book,69.239.78.110,info
2014-02-18 14:28:33,sahid,Accessed User Level,69.239.78.110,info
2014-02-18 14:28:36,sahid,Accessed View Logs,69.239.78.110,info
2014-02-18 14:29:01,sahid,Logged out,69.239.78.110,notice
2014-02-19 06:22:58,sahid,GPAC System successfully authenticated,76.102.160.28,notice
2014-02-19 06:23:00,sahid,Accessed Overview,76.102.160.28,info
2014-02-19 06:23:07,sahid,Accessed Upgrade,76.102.160.28,info
2014-02-19 06:23:52,sahid,Upgraded GPAC successfully,76.102.160.28,info
2014-02-19 06:23:59,sahid,Accessed System Information,76.102.160.28,info
2014-02-19 06:24:26,sahid,Accessed System Configuration,76.102.160.28,info
2014-02-19 05:24:35,sahid,Accessed Device Matrix,76.102.160.28,info
2014-02-19 05:24:49,sahid,Accessed Save Changes,76.102.160.28,info
2014-02-19 05:24:51,sahid,Saved GPAC configuration successfully,76.102.160.28,info
2014-02-19 05:24:53,sahid,Accessed Device Matrix,76.102.160.28,info
2014-02-19 05:24:59,sahid,Logged out,76.102.160.28,notice
2014-02-20 14:38:58,sahid,GPAC System successfully authenticated,174.240.37.232,notice
2014-02-20 14:39:10,sahid,Accessed Overview,174.240.37.232,info
2014-02-20 14:39:23,sahid,Accessed Camera Matrix,174.240.37.232,info
2014-02-20 14:40:00,sahid,Logged out,174.240.37.232,notice
2014-02-20 15:21:45,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-20 15:21:46,Jeff,Accessed Overview,192.168.1.148,info
2014-02-20 15:21:54,Jeff,Accessed Communication Centre,192.168.1.148,info
2014-02-20 15:23:15,Jeff,Added contact set TEC Staff successfully,192.168.1.148,notice
2014-02-20 15:24:03,Jeff,Added contact Jeff successfully,192.168.1.148,notice
2014-02-20 15:25:45,Jeff,Added contact Jeff successfully,192.168.1.148,notice
2014-02-20 15:25:59,Jeff,Added contact Jeff to contact set TEC Staff successfully,192.168.1.148,notice
2014-02-20 15:26:23,Jeff,Added contact Jeff to contact set TEC Staff successfully,192.168.1.148,notice
2014-02-20 15:27:05,Jeff,Accessed Overview,192.168.1.148,info
2014-02-20 15:27:07,Jeff,Accessed Device Matrix,192.168.1.148,info
